,col1,diffN,diffu,diffg
460,460,0.149047893,1.068041428,0.999547875
461,461,0.060190078,0.624729516,0.969664747
462,462,0.167808318,0.740102993,0.968661418
463,463,0.505498293,2.077477977,1.646610195
464,464,0.166377305,0.759928845,0.946312988
465,465,0.162516855,0.992174475,5.720099808
466,466,0.058775736,0.304223421,0.954209693
467,467,0.101143895,0.941430033,5.995199065
468,468,0.043100996,0.948184862,1.063967718
469,469,0.211648081,0.661680651,0.894284288
470,470,0.002363539,0.242253101,0.692412349
471,471,0.115607281,3.122551644,1.303805474
472,472,1.07E-05,0.011900554,0.159891397
473,473,0.000196233,0.030852288,0.145393562
474,474,0.029040565,0.429634188,0.913633489
475,475,0.210363176,0.750940507,0.96645605
476,476,0.000147467,0.219813689,0.96145922
477,477,0.148495445,0.735475048,0.949743056
478,478,0.052960831,1.53753579,8.537092884
479,479,0.000614539,0.122216576,0.75642941
480,480,0.085242753,0.821834396,1.019675113
481,481,0.937704907,2.808812126,3.244546543
482,482,0.016126707,1.112237166,0.877029246
483,483,0.061731116,0.647689095,1.256627068
484,484,0.215516373,0.792393308,0.955266289
485,485,0.009917635,0.973854381,1.411472492
486,486,0.024458338,0.329545226,0.801626759
487,487,0.079483919,0.896460077,0.984335628
488,488,0.087003855,2.999927957,1.757896089
489,489,0.000561467,0.470201034,0.919875368
490,490,0.047098969,0.54407544,0.898140826
491,491,0.16535972,0.658641472,0.893461017
492,492,0.176964465,1.116046047,1.029186348
493,493,0.003961005,0.159672979,0.683688712
494,494,0.000695458,0.685566894,0.374022392
495,495,0.024809015,0.368890745,0.847706672
496,496,0.025888616,0.380625579,0.880945829
497,497,0.032246702,0.913991166,1.041769472
498,498,0.065936474,0.601057741,0.93404216
499,499,0.06655964,0.598381765,0.883906833
500,500,0.002218742,0.050801786,0.276344738
501,501,0.057278911,0.686269832,0.981960919
502,502,0.069729296,0.608494814,0.919030129
503,503,0.106774921,0.800170883,1.067377399
504,504,0.104450234,0.582670109,0.907923443
505,505,0.00168042,0.093650418,1.412890168
506,506,0.000319336,0.470814045,0.254505751
507,507,0.067979612,0.539065621,0.881935484
508,508,0.003282816,0.69364638,0.956161403
509,509,0.100493291,0.580367123,0.883010836
510,510,0.163481742,0.68641304,0.949982678
511,511,0.022660284,0.990605565,0.987132033
512,512,0.085871123,0.733472615,0.932888238
513,513,0.053283284,0.945167947,1.020298984
514,514,0.092914479,0.628755284,1.122374008
515,515,0.023061499,0.371295446,0.890050838
516,516,0.10695738,0.653680225,0.90068394
517,517,0.000533413,0.053853069,0.185325675
518,518,0.000727373,0.079754158,0.486798915
519,519,0.105958826,0.686165902,0.911727087
520,520,3.49E-05,0.020453463,0.20018208
521,521,0.114441525,0.80054931,2.437831044
522,522,0.034689259,0.353923041,0.827648074
523,523,0.052740637,0.534581257,0.902965657
524,524,0.041232674,0.39354725,0.874588373
525,525,0.093752945,0.590158841,0.900093569
526,526,0.062583311,0.601210127,0.868095022
527,527,0.063797448,0.516892114,0.885938715
528,528,0.10420017,0.694861202,2.959184241
529,529,0.192750546,0.75163448,0.966456089
530,530,0.184536502,0.691198742,0.963670424
532,532,0.267368306,0.872871802,0.993764786
533,533,0.055196902,0.543153463,0.874690483
534,534,0.177644239,0.763304924,3.014199579
535,535,0.37817488,1.741442129,9.866148289
536,536,0.000209406,0.175148531,0.400105395
537,537,0.359498495,0.823093419,0.968000561
538,538,0.117085618,0.622797319,0.877688795
539,539,0.047402587,0.496933823,0.863718067
540,540,0.136855267,0.622261853,0.899625411
541,541,0.358561148,3.527753015,11.96663404
542,542,0.00129339,0.229257048,1.145569723
543,543,0.150168461,1.023995479,4.997720963
544,544,0.001874087,0.27270526,0.722550829
545,545,0.406371304,0.905344903,0.993590911
546,546,0.006852952,0.615114159,1.62234645
547,547,0.000642057,0.097148677,0.704635963
548,548,0.317275302,0.80337601,2.256393306
549,549,0.139118442,1.500334262,0.914120819
550,550,0.032452358,0.512741027,1.051894056
551,551,0.000952356,0.434426213,0.901429171
553,553,0.000380111,0.039949687,0.180263249
554,554,0.152928787,0.71072345,1.088343544
555,555,0.027001194,0.341033169,0.747485551
556,556,0.35433041,0.780715752,0.932012231
557,557,0.000201008,0.191249158,1.944405052
558,558,0.190168871,0.813490161,0.96589875
559,559,0.078723792,0.861635075,1.073055005
560,560,0.355896015,0.861584709,2.117608185
561,561,0.08912226,0.611312899,0.921659767
562,562,0.021388944,0.320403875,0.784595118
563,563,0.077768063,0.676276102,0.938746927
564,564,0.583582898,0.983930555,1.020205359
565,565,0.000306649,0.312120587,0.599919254
566,566,0.097941144,0.660737414,2.137794731
567,567,0.062515156,0.699669897,0.977736034
568,568,0.10792761,0.772919894,0.959978631
569,569,0.173679798,1.123528792,1.063525759
570,570,0.115273683,0.7349714,0.947823057
571,571,0.984365463,2.592491012,1.024873822
572,572,0.172836289,0.696270065,0.931743572
573,573,0.000189873,0.28447835,0.216220865
574,574,0.233758119,1.347405624,4.160753782
575,575,0.073204687,0.524842354,4.93362363
576,576,0.000411111,0.085765593,1.35852249
577,577,0.039899785,0.545075041,0.897313917
578,578,0.389619451,1.260621888,0.975137016
579,579,0.114964285,0.766890938,0.938729366
580,580,0.177789977,0.862306658,1.857361355
582,582,0.184985608,0.788235362,0.976957578
583,583,0.029324321,0.493571778,0.890713459
584,584,0.077025266,0.771723315,0.960154691
585,585,0.38840367,1.999390498,1.32387079
586,586,0.000229935,0.131559623,1.163647727
588,588,0.0226029,0.492072191,0.892002353
589,589,0.083894462,1.2237639,10.23871863
590,590,0.27591992,1.513240809,1.248153503
591,591,0.033083228,0.799075934,0.957202006
592,592,0.714597927,5.170241549,1.281720115
593,593,0.056367922,0.490727783,0.853958574
594,594,0.105604345,0.632554851,1.930065323
596,596,0.05134481,0.614647577,0.948898154
597,597,0.071343933,0.644852679,1.006299371
598,598,0.079662607,0.586752806,0.864495633
599,599,0.000611409,0.047903505,0.179566449
600,600,0.065811633,0.4957899,1.1551692
601,601,0.089263913,1.182401342,2.832558052
603,603,0.053135627,0.761198811,2.0191659
604,604,0.001208932,0.166143526,0.443388443
605,605,8.31E-06,0.008070818,62560.38944
606,606,0.003330671,0.230585568,0.850468853
607,607,0.000310231,0.098840161,0.629402991
608,608,0.413213261,0.819880241,0.936016712
609,609,0.002859087,0.745303937,0.999713086
610,610,0.000160509,0.32966813,0.326434162
611,611,0.018924576,0.581228942,0.976953741
612,612,0.000271056,0.503557688,0.766474308
613,613,0.000323694,0.557762538,0.268718521
614,614,0.093648896,0.62473762,1.343524532
615,615,2.26E-06,13.08301336,20206.80899
616,616,0.004380107,0.215374989,0.679140454
617,617,0.000909964,0.733245453,0.400034641
618,618,0.245219679,1.676282872,0.998789574
619,619,0.029945913,0.452882298,0.866607544
620,620,0.010062683,0.175099656,0.404363549
621,621,0.555614876,2.676482816,1.028439622
622,622,0.001320703,0.153486953,0.581286185
623,623,0.26425852,0.991694226,1.056312629
624,624,0.000718874,0.029149883,0.3829778
625,625,0.000219485,0.110724807,0.13646509
626,626,0.099897127,0.850352871,0.955878759
627,627,0.133127142,0.798280074,2.508249903
628,628,0.085062642,0.743990254,0.990060301
629,629,0.415703999,3.208470219,1.323037031
630,630,0.08284479,0.711409077,0.96683959
631,631,0.401021303,0.870365535,0.991667346
632,632,0.243492333,0.697654366,0.967963571
633,633,0.065678261,0.579539384,0.85858326
634,634,0.007718291,4.21194854,1.670433546
635,635,0.002773218,0.120269767,0.126930385
636,636,0.005597335,0.948321645,0.611961923
637,637,0.000204854,0.048742261,0.477454071
638,638,0.235834094,0.971908294,5.60415345
639,639,0.000372054,0.63394168,0.480947422
640,640,0.000515541,0.417300807,2.375186
641,641,0.012360037,0.317747135,0.771892464
642,642,0.651261767,0.932605295,1.825768051
643,643,0.000745458,0.107707189,0.398677409
644,644,8.98E-05,0.017200195,0.149445345
646,646,0.737175956,0.923908345,4.2380493
647,647,0.532355784,1.924951043,1.203368947
649,649,0.000644672,0.385877745,0.179679114
650,650,0.001433876,0.134792613,0.582962744
651,651,0.072416844,1.298104755,9.745695943
652,652,0.40549794,0.953011275,1.953313721
653,653,0.690804858,1.689488431,0.952732105
654,654,0.000781408,0.092280474,0.636954486
655,655,0.000719698,0.072461223,0.155567608
656,656,0.000770625,0.464928,0.535549479
657,657,0.275053465,2.411833022,1.155244741
658,658,0.164778111,0.703452015,0.919419278
659,659,0.057046358,0.475580185,0.866692054
