name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin
J063800.57-001324.1,99.502398,-0.223365,16.35,13.4,12,,,,,,,,,,,,,Lamost_DR2
J063802.31+050350.4,99.509666,5.064005,14.26,13.44,13.02,,,,,,,,,,,,,Lamost_DR2
J063811.45+323743.4,99.547727,32.628747,14.9,13.91,13.49,,,,,,,,,,,,,Lamost_DR2
J063839.70+092124.6,99.66542,9.356858,14.6,12.92,11.94,,,,,,,,,,,,,Lamost_DR2
J063851.80+171246.4,99.715845,17.2129,15.43,14.29,13.82,,,,,,,,,,,,,Lamost_DR2
J063904.11+330825.6,99.767165,33.140472,12.67,11.88,11.53,,,,,,,,,,,,,Lamost_DR2
J063919.48+333312.5,99.8312,33.553493,19.69,14.93,14.85,,,,,,,,,,,,,Lamost_DR2
J063930.45+131304.3,99.8769,13.217872,16.98,16.1,15.74,,,,,,,,,,,,,Lamost_DR2
J063936.60+613858.3,99.902541,61.649555,14.76,13.84,13.48,,,,,,,,,,,,,Lamost_DR2
J063946.82+171501.0,99.945103,17.250285,14.55,13.49,12.93,,,,,,,,,,,,,Lamost_DR2
J064001.57+355044.9,100.00655,35.845814,18.92,14.94,13.27,,,,,,,,,,,,,Lamost_DR2
J064007.93+185539.5,100.03305,18.92765,15.14,14.16,13.74,,,,,,,,,,,,,Lamost_DR2
J064023.48+424411.0,100.09787,42.736397,12.66,11.88,11.52,,,,,,,,,,,,,Lamost_DR2
J064025.49+135228.5,100.10623,13.874593,14.78,13.81,13.48,,,,,,,,,,,,,Lamost_DR2
J064048.03+275515.4,100.200142,27.920962,13.39,12.41,11.9,,,,,,,,,,,,,Lamost_DR2
J064058.25+281918.3,100.24272,28.321751,12.9,12.05,11.69,,,,,,,,,,,,,Lamost_DR2
J064124.34+204801.0,100.35145,20.800285,15.92,15.06,14.74,,,,,,,,,,,,,Lamost_DR2
J064129.51+405930.6,100.372968,40.991858,13.22,12.23,11.74,,,,,,,,,,,,,Lamost_DR2
J064136.74+013233.8,100.403104,1.542737,15.48,14.09,13.42,,,,,,,,,,,,,Lamost_DR2
J064143.29+350135.7,100.43038,35.026596,15.43,14.57,14.27,,,,,,,,,,,,,Lamost_DR2
J064146.70+313323.1,100.4446,31.556418,17.19,16.41,16.11,,,,,,,,,,,,,Lamost_DR2
J064149.09+303309.8,100.45456,30.552731,14.36,13.36,13.12,,,,,,,,,,,,,Lamost_DR2
J064200.73+385125.0,100.50305,38.856963,16.46,15.842,15.5706,,,,,,,,,,,,,Lamost_DR2
J064215.55+584728.8,100.564802,58.791351,14.25,13.45,13.17,,,,,,,,,,,,,Lamost_DR2
J064232.65+260946.8,100.63606,26.163019,13.29,13.58,12.05,,,,,,,,,,,,,Lamost_DR2
J064304.30+150343.4,100.76792,15.06208,15.19,13.04,11.85,,,,,,,,,,,,,Lamost_DR2
J064312.40+290512.4,100.80167,29.086788,14.85,14.4,14.25,,,,,,,,,,,,,Lamost_DR2
J064336.39+081500.6,100.90164,8.250174,16.33,14.95,14.32,,,,,,,,,,,,,Lamost_DR2
J064345.67+114019.4,100.940331,11.672071,13.67,12.16,10.98,,,,,,,,,,,,,Lamost_DR2
J064353.58+063831.8,100.97325,6.642176,18.7,14.8,14.32,,,,,,,,,,,,,Lamost_DR2
J064434.99+264306.2,101.14581,26.7184,13.54,13.03,12.44,,,,,,,,,,,,,Lamost_DR2
J064445.92+081049.9,101.19134,8.180531,15.28,14.02,13.45,,,,,,,,,,,,,Lamost_DR2
J064458.27+283611.4,101.24281,28.603172,13.89,13.47,13.17,,,,,,,,,,,,,Lamost_DR2
J064530.05+231255.5,101.37522,23.215443,15.43,14.4,13.98,,,,,,,,,,,,,Lamost_DR2
J064629.79+114543.2,101.62414,11.762016,14.84,13.42,12.64,,,,,,,,,,,,,Lamost_DR2
J064644.84+305515.5,101.686852,30.920979,13.75,13.26,12.68,,,,,,,,,,,,,Lamost_DR2
J064654.93+443926.5,101.72888,44.657371,16.74,15.39,15.14,,,,,,,,,,,,,Lamost_DR2
J064713.99+385404.7,101.8083,38.901332,16.1786,15.3765,15.0631,,,,,,,,,,,,,Lamost_DR2
J064722.20+081728.4,101.8425,8.291243,14.22,13.28,13.05,,,,,,,,,,,,,Lamost_DR2
J064733.46+265307.1,101.88942,26.885307,13.8,13.36,12.95,,,,,,,,,,,,,Lamost_DR2
J064738.68+052915.6,101.91117,5.487679,14.06,13.01,12.51,,,,,,,,,,,,,Lamost_DR2
J064755.56+100412.5,101.981513,10.070154,13.3,12.43,11.76,,,,,,,,,,,,,Lamost_DR2
