,EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],GALEX_FUV,GALEX_NUV,phase
70,304,9.69,0.45283169283238633,0.4528207893543816,3.672795658325548,4.93233850933214,-1.1927184338132644,-4.0,-3.995847,35.314316,23.798845,0.0
71,305,9.69,0.4603739823029399,0.46036252963984126,3.675113725039057,4.925424718504647,-1.1694824506242465,-4.0,-3.991503,35.141144,23.678898,0.0
72,306,9.69,0.467912204444356,0.4679001570898157,3.677578936929125,4.918411401396865,-1.145710063232352,-4.0,-4.001057,34.954369,23.552601,0.0
73,307,9.69,0.4751983981166077,0.4751857471166959,3.6799744453585848,4.911605577843507,-1.1226546281242702,-4.0,-3.991934,34.775024,23.432585,0.0
74,308,9.69,0.482774719083286,0.4827614037081364,3.682494164320144,4.904517305854611,-1.0985697941778336,-4.0,-3.996817,34.586334,23.306168,0.0
75,309,9.69,0.4902292697992889,0.4902152550568935,3.685094555879988,4.897577360614282,-1.0745345973742506,-4.0,-4.00175,34.393326,23.17873,0.0
76,310,9.69,0.4975605186121594,0.4975457819743159,3.6876660331222793,4.890719813175723,-1.0508066120998312,-4.0,-3.992655,34.202225,23.055033,0.0
77,311,9.69,0.5047042754612736,0.5046887967740724,3.690208866727188,4.884017177328113,-1.027538658770176,-4.0,-4.006991,34.00972,22.93203,0.0
78,312,9.69,0.5121025262505446,0.512086173785294,3.6933303151040575,4.877329367278238,-1.0022409320720682,-4.0,-4.007214,33.777184,22.79213,0.0
79,313,9.69,0.519584550168559,0.5195672661764433,3.696502810384601,4.8705379433954015,-0.9765660839218044,-4.0,-4.007449,33.533508,22.651499,0.0
80,314,9.69,0.5267113981285605,0.5266931825718193,3.699539725751048,4.864036282708385,-0.9520173471142901,-4.0,-4.012484,33.291363,22.518013,0.0
81,315,9.69,0.5338007474039895,0.5337815543822563,3.7025770854388655,4.8575308898460205,-0.9275176039394576,-4.0,-4.003184,33.039936,22.387093,0.0
82,316,9.69,0.5413911076645238,0.5413707941330425,3.7058505624839553,4.850503951190242,-0.9012319267514064,-4.0,-4.013001,32.759735,22.246454,0.0
83,317,9.69,0.5489505927092896,0.5489291031818186,3.709129065911605,4.843466597662252,-0.8749381847447181,-4.0,-3.999044,32.472229,22.108974,0.0
84,318,9.69,0.5562967795026583,0.5562740785579668,3.71233349995236,4.836562907373969,-0.849333094808338,-4.0,-4.013573,32.186554,21.974636,0.0
85,319,9.69,0.5637563435255817,0.5637323118725515,3.7156059286392074,4.829401315526487,-0.823444847766667,-4.0,-4.018732,31.893288,21.840679,0.0
86,320,9.69,0.5716535739479432,0.5716280499099747,3.7190896406603673,4.82176581068606,-0.7959068709595718,-4.0,-4.009424,31.581486,21.700277,0.0
87,321,9.69,0.5797059384716473,0.5796787952566285,3.722659205642776,4.813930171408211,-0.7677081693713942,-4.0,-4.019444,31.262619,21.557867,0.0
88,322,9.69,0.5877921202650536,0.5877632783798914,3.726147731193665,4.806406322891156,-0.7404363953091145,-4.0,-4.025021,30.946821,21.42168,0.0
89,323,9.69,0.595672802167215,0.5956422188360292,3.7295455333360654,4.799081926627296,-0.7139216423493456,-4.0,-4.011179,30.637142,21.291225,0.0
90,324,9.69,0.6036370380907357,0.6036045933531233,3.732999215350031,4.791612352201276,-0.6869746932732705,-4.0,-4.026482,30.323116,21.159958,0.0
91,325,9.69,0.6129284669005648,0.6128937951223252,3.736650418105481,4.784171612531714,-0.6594019155977935,-4.0,-4.033308,29.997561,21.025694,0.0
92,326,9.69,0.6221685775845007,0.6221315958377274,3.740172414369624,4.7771032247379965,-0.6330655504948132,-4.0,-4.03546,29.691395,20.898678,0.0
93,327,9.69,0.6310471276794615,0.6310078094836061,3.743564780427045,4.770243949097291,-0.6076595567478755,-4.0,-4.052788,29.402813,20.778,0.0
94,328,9.69,0.6404803260638119,0.6404383613020697,3.747187372718423,4.762845251077115,-0.5804823816655156,-4.0,-4.055046,29.098629,20.651007,0.0
95,329,9.69,0.6496321603831486,0.6495874890181055,3.750712182677262,4.755585121184208,-0.5539926908472916,-4.0,-4.073062,28.807228,20.529234,0.0
96,330,9.69,0.6584837385734306,0.6584362962255207,3.7541310298124735,4.748476944543852,-0.5282471816833927,-4.0,-4.09724,28.529503,20.412735,0.0
97,331,9.69,0.6676734454361795,0.6676229580137023,3.757695917573984,4.74099366139412,-0.5013529399964252,-4.0,-4.088392,28.24577,20.292904,0.0
98,332,9.69,0.6766698473303164,0.6766161990036657,3.7611956414744294,4.733569557379202,-0.4748869645640572,-4.0,-4.11325,27.973612,20.176813,0.0
99,333,9.69,0.6854428058874756,0.6853859075957868,3.764619886270364,4.726232717066859,-0.4489354905265597,-4.0,-4.11553,27.713293,20.064814,0.0
100,334,9.69,0.6944870327772305,0.6944265692038467,3.768172774942381,4.718537399950838,-0.42195900326137153,-4.0,-4.135509,27.449186,19.9503,0.0
101,335,9.69,0.7032049052198066,0.7031408162072784,3.771607553831669,4.711017515580036,-0.39581339448894687,-4.0,-4.149974,27.199421,19.841175,0.0
102,336,9.69,0.7120628161003816,0.711994817206409,3.7751116664412296,4.703239447729684,-0.36905387345874086,-4.0,-4.171456,26.94997,19.731405,0.0
103,337,9.69,0.7207681196592982,0.7206960504985662,3.778571042539711,4.6954813827110256,-0.3425789312343636,-4.0,-4.167197,26.708832,19.624649,0.0
